Droga / Principio Activo;Nombre Comercial;Presentación;Laboratorio;Precio de Venta al Público (PVP);Fecha de extracción;Fuente
Fenitoína;Fenitoína Northia;Comp. 100mg x50;Northia;2700;19/08/2026;Estimación propia (dato simulado)
Omeprazol;Losec;Cáps. 10mg x14;AstraZeneca;2440;19/08/2026;Estimación propia (dato simulado)
Omeprazol;Losec;Cáps. 10mg x28;AstraZeneca;4680;19/08/2026;Estimación propia (dato simulado)
Omeprazol;Losec;Cáps. 20mg x28;AstraZeneca;6690;19/08/2026;Estimación propia (dato simulado)
Omeprazol;Losec;Cáps. 40mg x14;AstraZeneca;5580;19/08/2026;Estimación propia (dato simulado)
Omeprazol;Losec;Cáps. 40mg x28;AstraZeneca;10710;19/08/2026;Estimación propia (dato simulado)
Pantoprazol;Pantozol;Comp. 20mg x14;Takeda;3060;19/08/2026;Estimación propia (dato simulado)
Pantoprazol;Pantozol;Comp. 20mg x28;Takeda;5860;19/08/2026;Estimación propia (dato simulado)
Pantoprazol;Pantozol;Comp. 40mg x28;Takeda;7810;19/08/2026;Estimación propia (dato simulado)
Esomeprazol;Nexium;Comp. 40mg x28;AstraZeneca;10780;19/08/2026;Estimación propia (dato simulado)
Famotidina;Famotidina Denver;Comp. 40mg x20;Denver Farma;1750;19/08/2026;Estimación propia (dato simulado)
Sucralfato;Sucralfin;Comp. 1g x40;Beta;4370;19/08/2026;Estimación propia (dato simulado)
Butilescopolamina;Buscapina;Comp. 10mg x20;Boehringer Ingelheim;1750;19/08/2026;Estimación propia (dato simulado)
Butilescopolamina + Paracetamol;Buscapina Compositum;Comp. x20;Boehringer Ingelheim;2910;19/08/2026;Estimación propia (dato simulado)
Metoclopramida;Reliverán;Gotas 4mg/ml x20ml;Gador;2000;19/08/2026;Estimación propia (dato simulado)
Metoclopramida;Reliverán;Comp. 10mg x30;Gador;1950;19/08/2026;Estimación propia (dato simulado)
Mesalazina;Mesasal;Comp. 500mg x50;Roemmers;8100;19/08/2026;Estimación propia (dato simulado)
Loperamida;Imodium;Cáps. 2mg x6;Janssen;1680;19/08/2026;Estimación propia (dato simulado)
Salbutamol;Ventolin;Aerosol 100mcg x200 dosis;GSK;2300;19/08/2026;Estimación propia (dato simulado)
Salbutamol;Ventolin Nebulizador;Sol. para nebulizar 5mg/ml x10ml;GSK;2900;19/08/2026;Estimación propia (dato simulado)
Budesonide + Formoterol;Symbicort;Aerosol 160/4.5mcg x120 dosis;AstraZeneca;13310;19/08/2026;Estimación propia (dato simulado)
Budesonide + Formoterol;Symbicort;Aerosol 80/4.5mcg x120 dosis;AstraZeneca;9980;19/08/2026;Estimación propia (dato simulado)
Beclometasona;Beclosol;Aerosol nasal 50mcg x200 dosis;GSK;3400;19/08/2026;Estimación propia (dato simulado)
Ipratropio;Atrovent;Aerosol 20mcg x200 dosis;Boehringer Ingelheim;3100;19/08/2026;Estimación propia (dato simulado)
Tiotropio;Spiriva Respimat;Inhalador 2.5mcg x60 dosis;Boehringer Ingelheim;15800;19/08/2026;Estimación propia (dato simulado)
Montelukast;Singulair;Comp. 10mg x30;MSD;8370;19/08/2026;Estimación propia (dato simulado)
Montelukast;Singulair Pediátrico;Comp. mast. 4mg x30;MSD;7530;19/08/2026;Estimación propia (dato simulado)
Teofilina;Theo-Dur;Comp. 300mg x20;Bagó;2520;19/08/2026;Estimación propia (dato simulado)
Ambroxol;Mucosolvan;Jarabe 30mg/5ml x120ml;Sanofi;2400;19/08/2026;Estimación propia (dato simulado)
Ambroxol;Mucosolvan Pediátrico;Jarabe 15mg/5ml x120ml;Sanofi;2100;19/08/2026;Estimación propia (dato simulado)
Loratadina;Clarityne;Comp. x10;Bayer;2600;19/08/2026;Estimación propia (dato simulado)
Loratadina;Clarityne;Comp. x20;Bayer;4810;19/08/2026;Estimación propia (dato simulado)
Cetirizina;Zyrtec;Comp. x10;GSK;2400;19/08/2026;Estimación propia (dato simulado)
Cetirizina;Zyrtec;Comp. x20;GSK;4440;19/08/2026;Estimación propia (dato simulado)
Desloratadina;Aerius;Comp. x10;MSD;3400;19/08/2026;Estimación propia (dato simulado)
Desloratadina;Aerius;Comp. x20;MSD;6290;19/08/2026;Estimación propia (dato simulado)
Fexofenadina;Allegra;Comp. x10;Sanofi;3800;19/08/2026;Estimación propia (dato simulado)
Fexofenadina;Allegra;Comp. x20;Sanofi;7030;19/08/2026;Estimación propia (dato simulado)
Loratadina;Clarityne Jarabe;Jarabe 5mg/5ml x120ml;Bayer;2300;19/08/2026;Estimación propia (dato simulado)
Prednisona;Meticorten;Comp. 5mg x20;Schering-Plough;970;19/08/2026;Estimación propia (dato simulado)
Betametasona;Celestone;Comp. 0.5mg x30;MSD;2230;19/08/2026;Estimación propia (dato simulado)
Dexametasona;Dexametasona Richet;Comp. 4mg x10;Richet;900;19/08/2026;Estimación propia (dato simulado)
Prednisolona;Deltisona B;Sol. gotas 20ml;Sidus;2600;19/08/2026;Estimación propia (dato simulado)
Levotiroxina sódica;Levotiroxina Montpellier;Comp. 25mcg x50;Montpellier;650;19/08/2026;Estimación propia (dato simulado)
Levotiroxina sódica;Levotiroxina Montpellier;Comp. 50mcg x50;Montpellier;1300;19/08/2026;Estimación propia (dato simulado)
Levotiroxina sódica;Levotiroxina Montpellier;Comp. 75mcg x50;Montpellier;1960;19/08/2026;Estimación propia (dato simulado)
Levotiroxina sódica;Levotiroxina Montpellier;Comp. 88mcg x50;Montpellier;2300;19/08/2026;Estimación propia (dato simulado)
Levotiroxina sódica;Levotiroxina Montpellier;Comp. 112mcg x50;Montpellier;2920;19/08/2026;Estimación propia (dato simulado)
Levotiroxina sódica;Levotiroxina Montpellier;Comp. 125mcg x50;Montpellier;3260;19/08/2026;Estimación propia (dato simulado)
Levotiroxina sódica;Levotiroxina Montpellier;Comp. 150mcg x50;Montpellier;3920;19/08/2026;Estimación propia (dato simulado)
Levotiroxina sódica;Levotiroxina Montpellier;Comp. 175mcg x50;Montpellier;4570;19/08/2026;Estimación propia (dato simulado)
Levotiroxina sódica;Levotiroxina Montpellier;Comp. 200mcg x50;Montpellier;5220;19/08/2026;Estimación propia (dato simulado)
Etinilestradiol + Drospirenona;Yasmin;Comp. x21;Bayer;4200;19/08/2026;Estimación propia (dato simulado)
Etinilestradiol + Levonorgestrel;Microgynon;Comp. x21;Bayer;2100;19/08/2026;Estimación propia (dato simulado)
Etinilestradiol + Gestodeno;Belara;Comp. x21;Gedeon Richter;3900;19/08/2026;Estimación propia (dato simulado)
Desogestrel;Cerazette;Comp. x28;MSD;5200;19/08/2026;Estimación propia (dato simulado)
Ivermectina;Ivexterm;Comp. 6mg x2;Elea;1400;19/08/2026;Estimación propia (dato simulado)
Aciclovir;Aciclovir Denver;Comp. 400mg x25;Denver Farma;2790;19/08/2026;Estimación propia (dato simulado)
Aciclovir;Acic Crema;Crema 5% x2g;GSK;1600;19/08/2026;Estimación propia (dato simulado)
Vitamina D3 (Colecalciferol);Vitamina D3 Raffo;Gotas 10ml (10000UI/ml);Raffo;3100;19/08/2026;Estimación propia (dato simulado)
Vitamina D3 (Colecalciferol);Vitamina D3 Raffo;Comp. 25000UI x4;Raffo;2200;19/08/2026;Estimación propia (dato simulado)
Complejo B;Bekunis B12;Comp. x30;Beta;1900;19/08/2026;Estimación propia (dato simulado)
Ácido fólico;Ácido Fólico Northia;Comp. 5mg x30;Northia;950;19/08/2026;Estimación propia (dato simulado)
Sulfato ferroso;Ferricon;Comp. x30;Bagó;1600;19/08/2026;Estimación propia (dato simulado)
Calcio + Vitamina D;Cal-C-Vita;Comp. x30;Gador;2800;19/08/2026;Estimación propia (dato simulado)
Omega 3;Omega Life;Cáps. x60;Investi Farma;4200;19/08/2026;Estimación propia (dato simulado)
Melatonina;Melatonina Filo;Comp. 3mg x30;Filaxis;3200;19/08/2026;Estimación propia (dato simulado)
Tramadol;Tramal;Cáps. 50mg x20;Grünenthal;2720;19/08/2026;Estimación propia (dato simulado)
Tramadol + Paracetamol;Tramal Plus;Comp. x20;Grünenthal;3690;19/08/2026;Estimación propia (dato simulado)
Codeína + Paracetamol;Klosidol;Comp. x20;Bagó;3490;19/08/2026;Estimación propia (dato simulado)
Meloxicam;Movatec;Comp. 15mg x10;Boehringer Ingelheim;2100;19/08/2026;Estimación propia (dato simulado)
Celecoxib;Celebra;Cáps. 200mg x10;Pfizer;3500;19/08/2026;Estimación propia (dato simulado)
Metamizol (Dipirona);Novemina;Comp. 500mg x10;Roemmers;1400;19/08/2026;Estimación propia (dato simulado)
Metamizol (Dipirona);Novemina;Gotas 500mg/ml x20ml;Roemmers;2100;19/08/2026;Estimación propia (dato simulado)
